Key,Pitch,Frequency
108,B8,7902.13
107,A♯8/B♭8,7458.62
106,A8,7040
105,G♯8/A♭8,6644.88
104,G8,6271.93
103,F♯8/G♭8,5919.91
102,F8,5587.65
101,E8,5274.04
100,D♯8/E♭8,4978.03
99,D8,4698.64
98,C♯8/D♭8,4434.92
88,C8,4186.01
87,B7,3951.07
86,A♯7/B♭7,3729.31
85,A7,3520
84,G♯7/A♭7,3322.44
83,G7,3135.96
82,F♯7/G♭7,2959.96
81,F7,2793.83
80,E7,2637.02
79,D♯7/E♭7,2489.02
78,D7,2349.32
77,C♯7/D♭7,2217.46
76,C7,2093
75,B6,1975.53
74,A♯6/B♭6,1864.66
73,A6,1760
72,G♯6/A♭6,1661.22
71,G6,1567.98
70,F♯6/G♭6,1479.98
69,F6,1396.91
68,E6,1318.51
67,D♯6/E♭6,1244.51
66,D6,1174.66
65,C♯6/D♭6,1108.73
64,C6,1046.5
63,B5,987.767
62,A♯5/B♭5,932.328
61,A5,880
60,G♯5/A♭5,830.609
59,G5,783.991
58,F♯5/G♭5,739.989
57,F5,698.456
56,E5,659.255
55,D♯5/E♭5,622.254
54,D5,587.33
53,C♯5/D♭5,554.365
52,C5,523.251
51,B4,493.883
50,A♯4/B♭4,466.164
49,A4,440
48,G♯4/A♭4,415.305
47,G4,391.995
46,F♯4/G♭4,369.994
45,F4,349.228
44,E4,329.628
43,D♯4/E♭4,311.127
42,D4,293.665
41,C♯4/D♭4,277.183
40,C4,261.626
39,B3,246.942
38,A♯3/B♭3,233.082
37,A3,220
36,G♯3/A♭3,207.652
35,G3,195.998
34,F♯3/G♭3,184.997
33,F3,174.614
32,E3,164.814
31,D♯3/E♭3,155.563
30,D3,146.832
29,C♯3/D♭3,138.591
28,C3,130.813
27,B2,123.471
26,A♯2/B♭2,116.541
25,A2,110
24,G♯2/A♭2,103.826
23,G2,97.9989
22,F♯2/G♭2,92.4986
21,F2,87.3071
20,E2,82.4069
19,D♯2/E♭2,77.7817
18,D2,73.4162
17,C♯2/D♭2,69.2957
16,C2 Deep C,65.4064
15,B1,61.7354
14,A♯1/B♭1,58.2705
13,A1,55
12,G♯1/A♭1,51.9131
11,G1,48.9994
10,F♯1/G♭1,46.2493
9,F1,43.6535
8,E1,41.2034
7,D♯1/E♭1,38.8909
6,D1,36.7081
5,C♯1/D♭1,34.6478
4,C1,32.7032
3,B0,30.8677
2,A♯0/B♭0,29.1352
1,A0,27.5
97,G♯0/A♭0,25.9565
96,G0,24.4997
95,F♯0/G♭0,23.1247
94,F0,21.8268
93,E0,20.6017
92,D♯0/E♭0,19.4454
91,D0,18.354
90,C♯0/D♭0,17.3239
89,C0,16.3516
